ID,SMILES
0000,NC1=CC=C(OC2=CC=CC=N2)C=C1
0001,COC1=C(N)C=CC(SC#N)=C1
0002,CC(=O)OC1=CC=C(N)C=C1
0003,CC(=O)NC1=CC(N)=C(C)C=C1
0004,CC1=C(N)C=CC(Br)=C1
0005,NC1=C(C=CC(Cl)=C1)N1CCCC1
0006,CC1=C(N)C(=CC(F)=C1)C(O)=O
0007,CC1=C(N)C(CO)=CC(Cl)=C1
0008,CC1=C(Br)C=CC(N)=C1
0009,NC1=C(CO)C=C(F)C=C1
0010,CC(=O)NCCOC1=CC=C(N)C=C1
0011,NC1=CC=C(F)C=C1OC(F)F
0012,CCOC1=C(C=CC(N)=C1)N(=O)=O
0013,NC1=CC(F)=C(OC(F)F)C=C1
0014,COC1=C(Cl)C=C(N)C(C)=C1
0015,NC1=C(N)C=C(C#N)C(Cl)=C1
0016,NC1=C(N)C(Br)=CC=C1
0017,COC(=O)C1=CC(F)=CC(C)=C1N
0018,NC1=CC=CC(=C1F)N(=O)=O
0019,NC1=CC(F)=CC=C1OC(F)F
0020,COC1=CC(F)=C(N)C=C1
0021,COC1=C(N)C(C)=CC(=C1)N(=O)=O
0022,NC1=CC=C(OC(F)F)C=C1F
0023,NC1=C(F)C=CC=C1OC(F)F
0024,NC1=C(CC(F)(F)F)C=CC=C1
0025,NC(=O)C1(CC1)C1=CC(N)=CC=C1
0026,CC1=C(F)C=C(N)C(=C1)C(O)=O
0027,NC1=CC(OC(F)F)=C(F)C=C1
0028,COC1=C(N)C=C(F)C(C)=C1
0029,CNC1=C(Cl)C=CC(N)=C1
0030,NC1=C(C=C(C=C1)C#N)C(F)(F)F
0031,NC1=C2C=CC=NC2=C(Cl)C=C1
0032,NC1=C(Cl)C=CC2=C1C=CC=N2
0033,NC1=CC(Cl)=C(C=C1)N(=O)=O
0034,NC1=C(C(=CC=C1)C(O)=O)N(=O)=O
0035,NC1=C2C=CC=NC2=C(F)C=C1
0036,NC1=C(O)C(F)=CC=C1
0037,NC1=CC=C(CN2C=NC=N2)C=C1
0038,NC1=CC2=C(OC(F)(F)O2)C=C1
0039,NC1=CC(Br)=CC(F)=C1
0040,CC1=CC(Cl)=CC(=C1N)N(=O)=O
